date,bullishness
20150519,-0.251748348
20150520,0.60081025
20150521,-0.164727297
20150526,0.59338772
20150527,-0.43655884
20150603,-0.028318555
20150604,0.541769795
20150606,-0.4001207
20150607,-0.45874785
20150608,-0.058661846
20150609,-0.567988613
20150610,0.36088348
20150611,-0.43043412
20150616,0.48746946
20150617,-0.52670774
20150622,0.92875661
20150623,0.91801783
20150624,0.47135901
20150625,0.43216408
20150626,-0.686612
20150630,0.157404263
20150701,-0.56419399
20150706,0.68876763
20150711,-0.48769976
20150713,-0.47704056
20150716,-0.107726155
20150721,-0.589157497
20150722,-0.65078697
20150723,-0.417038603
20150724,-0.776717775
20150727,0.69708195
20150730,-0.047229103
20150803,-0.48711566
20150804,-0.839369155
20150806,0.150431233
20150811,-0.64359633
20150812,0.166345573
20150813,-0.630767045
20150814,-0.749721437
20150817,-0.44938924
20150820,0.42788548
20150821,-0.23837673
20150824,-0.473467785
20150825,-0.737992545
20150827,-0.071438687
20150831,-0.47958727
20150901,0.27386267
20150902,-0.79623023
20150903,0.57950375
20150908,0.6535007
20150909,-0.53793319
20150910,-0.36584933
20150914,-0.099151315
20150916,-0.456969767
20150917,-0.756835775
20150918,-0.231003036
20150921,-0.334814025
20150922,-0.63818045
20150923,-0.54516239
20150924,-0.69404091
20150928,-0.62953002
20150929,-0.47189304
20150930,-0.656919263
20151001,-0.204735624
20151006,-0.66441139
20151008,0.55168154
20151009,-0.02887453
20151013,-0.572412707
20151014,-0.120798065
20151019,-0.96046252
20151020,0.492411307
20151026,-0.615923306
20151027,-0.47179118
20151028,-0.47784122
20151108,-0.58170972
20151109,-0.433935385
20151118,-0.59066022
20151119,0.48179314
20151120,-0.241527433
20151124,-0.59322674
20151204,-0.834320065
20151209,-0.80003899
20151211,-0.6136517
20151214,0.039618125
20151215,-0.48194421
20151216,-0.456399333
20151218,-0.564807358
20151221,-0.56035474
20151223,0.54064441
20151224,-0.54187347
20151228,-0.5882652
20151230,-0.63895491
20160106,-0.369990007
20160107,-0.64329544
20160108,-0.73096947
20160116,0.5767268
20160119,0.43508318
20160122,-0.149049253
20160126,0.90655888
20160127,-0.69597667
20160128,-0.459009905
20160129,-0.436824473
20160202,0.46858344
20160204,-0.80147299
20160208,-0.81296721
20160216,-0.981674865
20160219,-0.647637555
20160220,-0.73994157
20160222,-0.93076806
20160224,-0.53061078
20160303,-0.56321962
20160307,-0.66859887
20160309,0.55336006
20160310,0.55336006
20160311,-0.48278784
20160315,-0.47211035
20160316,0.070838605
20160317,-0.398498987
20160321,-0.81042776
20160322,-0.589300353
20160323,-0.57747833
20160329,-0.74371407
20160331,0.4426658
20160413,-0.71452961
20160414,-0.603337634
20160415,-0.66913261
20160419,0.4771424
20160420,-0.72715456
20160426,-0.38567021
20160427,-0.70616182
20160428,-0.655252822
20160429,-0.59761992
20160504,-0.693119775
20160505,-0.72618691
20160509,0.51091212
20160512,-0.59636327
20160513,-0.35732874
20160516,0.503399573
20160517,-0.460147243
20160519,0.46522238
20160520,-0.38133518
20160525,-0.6431166
20160601,-0.145027205
20160603,-0.65140607
20160610,0.39582623
20160613,0.03641374
20160614,0.03398013
20160617,-0.590892264
20160620,-0.52444326
20160621,0.61021283
20160630,-0.49353925
20160701,-0.63038692
20160705,-0.45861768
20160713,-0.53849404
20160721,-0.5341563
20160722,0.60181541
20160725,-0.55495595
20160726,0.4212868
20160727,0.5800067
20160728,-0.43445079
20160801,0.40318966
20160815,-0.41874239
20160817,-0.474716115
20160819,-0.715421755
20160830,-0.72954147
20160831,0.070683324
20160901,-0.55835955
20160902,-0.7286816
20160907,-0.665073538
20160908,-0.62623244
20160914,-0.6047548
20160915,-0.19682607
20160916,-0.481226905
20160926,-0.49490496
20161001,-0.98663039
20161005,-0.12727847
20161007,-0.54897874
20161010,-0.69510925
20161019,-0.5763694
20161025,-0.63726065
20161026,-0.51902227
20161027,-0.064937925
20161028,0.6460574
20161106,0.58541024
20161216,-0.51923082
20170106,-0.204969113
20170119,-0.55202664
20170121,-0.505258593
20170125,-0.43943218
20170127,-0.1173742
20170201,0.632028403
20170210,0.52185679
20170213,-0.366786023
20170214,0.40318582
20170215,-0.5081233
20170217,-0.70193212
20170220,-0.67927867
20170223,-0.69892822
20170225,0.45351273
20170227,-0.97107624
20170228,-0.60033605
20170301,-0.92818176
20170302,-0.69573272
20170309,0.78120269
20170316,0.41679017
20170321,0.69094659
20170322,0.66634618
20170325,-0.69380107
20170403,-0.59549559
20170411,-0.50436429
20170414,-0.21311807
20170419,-0.09467204
20170422,0.75240539
20170425,-0.677246138
20170427,0.63180027
20170428,-0.50203048
20170501,0.505587975
20170502,-0.76930759
20170503,-0.73469576
20170504,-0.679210525
20170508,0.44437651
20170509,0.573439695
20170511,-0.41606166
20170515,-0.59754983
20170517,-0.15783998
20170518,-0.618450746
20170523,-0.86541285
20170530,-0.62835404
20170605,-0.462575368
20170606,0.6821634
20170609,-0.903317
20170612,-0.759572772
20170613,-0.88781905
20170616,0.196347113
20170622,-0.54886045
20170623,-0.54098239
20170626,-0.79840337
20170705,-0.39473367
20170706,-0.61780011
20170710,-0.13029746
20170712,0.52270901
20170719,0.276329353
20170720,-0.79281994
20170721,-0.695156695
20170725,-0.41242693
20170727,0.642114885
20170728,0.54761227
20170731,-0.43209963
20170802,0.171405508
20170803,-0.658452435
20170804,0.59020665
20170807,0.57653141
20170808,-0.77809604
20170809,-0.61532322
20170810,0.56093322
20170816,-0.70955675
20170817,-0.49486358
20170830,-0.294030413
20170831,0.47219194
20170906,0.151195933
20170907,-0.486569997
20170912,-0.75025574
20170913,-0.599469901
20170919,0.677333235
20170920,-0.29100155
20170921,-0.613482293
20170922,0.36261417
20170925,-0.940665605
20170926,0.113516483
20170928,-0.70251217
20171004,-0.45048763
20171006,-0.492623463
20171009,0.08088304
20171010,-0.537845935
20171012,-0.47997505
20171018,0.48447933
20171019,-0.638928054
20171020,-0.45673018
20171023,-0.86937536
20171024,0.134806136
20171025,-0.668528874
20171026,-0.51662537
20171027,-0.38825615
20171028,-0.71448113
20171030,-0.542858767
20171031,-0.482902643
20171102,-0.722968995
20171107,-0.900521173
20171108,-0.634683523
20171109,-0.081119012
